,province,district_name,district_id,neighborhood_name,neighborhood_id
0,ADANA,ALADAĞ,650,AKPINAR MAH.,78275
2,ADANA,ALADAĞ,650,AKÖREN MAH.,138614
4,ADANA,ALADAĞ,650,BAŞPINAR MAH.,78276
6,ADANA,ALADAĞ,650,BOZTAHTA MAH.,138615
7,ADANA,ALADAĞ,650,BÜYÜKSOFULU MAH.,138616
11,ADANA,ALADAĞ,650,CERİTLER MAH.,138617
14,ADANA,ALADAĞ,650,DARILIK MAH.,138618
15,ADANA,ALADAĞ,650,DAİLER MAH.,138619
16,ADANA,ALADAĞ,650,DÖLEKLİ MAH.,138620
18,ADANA,ALADAĞ,650,EBRİŞİM MAH.,138624
19,ADANA,ALADAĞ,650,EĞNER MAH.,138621
20,ADANA,ALADAĞ,650,GERDİBİ MAH.,138622
23,ADANA,ALADAĞ,650,GÖKÇEKÖY MAH.,138623
24,ADANA,ALADAĞ,650,GİREĞİYENİKÖY MAH.,138638
25,ADANA,ALADAĞ,650,KABASAKAL MAH.,138625
26,ADANA,ALADAĞ,650,KARAHAN MAH.,138626
27,ADANA,ALADAĞ,650,KICAK MAH.,138627
29,ADANA,ALADAĞ,650,KIZILDAM MAH.,138629
31,ADANA,ALADAĞ,650,KIŞLAK MAH.,138628
32,ADANA,ALADAĞ,650,KÖKEZ MAH.,138630
35,ADANA,ALADAĞ,650,KÖPRÜCÜK MAH.,138631
36,ADANA,ALADAĞ,650,KÜP MAH.,138632
37,ADANA,ALADAĞ,650,MADENLİ MAH.,138633
38,ADANA,ALADAĞ,650,MANSURLU MAH.,78277
41,ADANA,ALADAĞ,650,MAZILIK MAH.,138634
42,ADANA,ALADAĞ,650,POSYAĞBASAN MAH.,138637
43,ADANA,ALADAĞ,650,SİNANPAŞA MAH.,78278
47,ADANA,ALADAĞ,650,TOPALLI MAH.,138635
48,ADANA,ALADAĞ,650,UZUNKUYU MAH.,138636
49,ADANA,ALADAĞ,650,YETİMLİ MAH.,138639
50,ADANA,ALADAĞ,650,YÜKSEKÖREN MAH.,138640
